instant,dteday,season,mnth,hr,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,01-01-2011,1,1,0,6,1,0.24,0.2879,0.81,0.0,3,13,16
2,01-01-2011,1,1,1,6,1,0.22,0.2727,0.8,0.0,8,32,40
3,01-01-2011,1,1,2,6,1,0.22,0.2727,0.8,0.0,5,27,32
4,01-01-2011,1,1,3,6,1,0.24,0.2879,0.75,0.0,3,10,13
5,01-01-2011,1,1,4,6,1,0.24,0.2879,0.75,0.0,0,1,1
6,01-01-2011,1,1,5,6,2,0.24,0.2576,0.75,0.0896,0,1,1
7,01-01-2011,1,1,6,6,1,0.22,0.2727,0.8,0.0,2,0,2
8,01-01-2011,1,1,7,6,1,0.2,0.2576,0.86,0.0,1,2,3
9,01-01-2011,1,1,8,6,1,0.24,0.21195783619817998,0.75,0.0,1,7,8
10,01-01-2011,1,1,9,6,1,0.32,0.3485,0.76,0.0,8,6,14
11,01-01-2011,1,1,10,6,1,0.38,0.3939,0.76,0.2537,12,24,36
12,01-01-2011,1,1,11,6,1,0.36,0.3333,0.81,0.2836,26,30,56
13,01-01-2011,1,1,12,6,1,0.42,0.4242,0.77,0.2836,29,55,84
14,01-01-2011,1,1,13,6,2,0.46,0.4545,0.72,0.2985,47,47,94
15,01-01-2011,1,1,14,6,2,0.46,0.4545,0.72,0.2836,35,71,106
16,01-01-2011,1,1,15,6,2,0.44,0.4394,0.77,0.2985,40,70,110
17,01-01-2011,1,1,16,6,2,0.42,0.4242,0.82,0.2985,41,52,93
18,01-01-2011,1,1,17,6,2,0.44,0.21195783619817998,0.82,0.2836,15,52,67
19,01-01-2011,1,1,18,6,3,0.42,0.4242,0.88,0.2537,9,26,35
20,01-01-2011,1,1,19,6,3,0.42,0.4242,0.88,0.2537,6,31,37
21,01-01-2011,1,1,20,6,2,0.4,0.4091,0.87,0.2537,11,25,36
22,01-01-2011,1,1,21,6,2,0.4,0.4091,0.87,0.194,3,31,34
23,01-01-2011,1,1,22,6,2,0.4,0.4091,0.94,0.2239,11,17,28
24,01-01-2011,1,1,23,6,2,0.46,0.21195783619817998,0.88,0.2985,15,24,39
25,02-01-2011,1,1,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17
26,02-01-2011,1,1,1,0,2,0.44,0.4394,0.94,0.2537,1,16,17
27,02-01-2011,1,1,2,0,2,0.42,0.4242,1.0,0.2836,1,8,9
28,02-01-2011,1,1,3,0,2,0.46,0.4545,0.94,0.194,2,4,6
29,02-01-2011,1,1,4,0,2,0.46,0.21195783619817998,0.94,0.194,2,1,3
30,02-01-2011,1,1,6,0,3,0.42,0.4242,0.77,0.2985,0,2,2
31,02-01-2011,1,1,7,0,2,0.4,0.4091,0.76,0.194,0,1,1
32,02-01-2011,1,1,8,0,3,0.4,0.4091,0.71,0.2239,0,8,8
33,02-01-2011,1,1,9,0,2,0.38,0.21195783619817998,0.76,0.2239,1,19,20
34,02-01-2011,1,1,10,0,2,0.36,0.3485,0.81,0.2239,7,46,53
35,02-01-2011,1,1,11,0,2,0.36,0.3333,0.71,0.2537,16,54,70
36,02-01-2011,1,1,12,0,2,0.36,0.3333,0.66,0.2985,20,73,93
